NAME,Cholera,COVID-19,Ebola,Swine Flu,SARS,Measles,Meningitis
DAY 1,0,0,59,0,0,0,0
DAY 2,1,0,60,0,0,4,0
DAY 3,5,0,77,0,1,7,2
DAY 4,12,0,77,0,1,11,3
DAY 5,21,0,77,0,2,15,6
DAY 6,33,0,77,0,2,19,9
DAY 7,47,0,77,0,3,22,13
DAY 8,64,0,82,0,4,26,18
DAY 9,84,0,88,0,4,30,24
DAY 10,106,0,90,0,9,34,30
DAY 11,131,1,93,0,10,37,37
DAY 12,159,1,96,0,10,41,45
DAY 13,189,1,99,0,11,45,53
DAY 14,222,1,102,0,14,48,62
DAY 15,257,1,106,0,17,52,72
DAY 16,295,2,110,0,17,56,82
DAY 17,336,2,115,0,49,60,93
DAY 18,379,2,117,0,53,63,105
DAY 19,425,2,120,0,53,67,117
DAY 20,474,3,123,0,54,71,130
DAY 21,525,6,126,0,56,75,144
DAY 22,579,9,129,0,58,78,158
DAY 23,635,17,132,0,62,82,172
DAY 24,694,25,135,0,78,86,187
DAY 25,756,41,136,0,79,89,203
DAY 26,820,56,138,0,84,93,219
DAY 27,887,80,140,0,89,97,235
DAY 28,957,106,142,1,93,101,252
DAY 29,1029,132,144,1,98,104,269
DAY 30,1104,170,147,2,103,108,287
DAY 31,1181,213,148,2,106,112,305
DAY 32,1261,259,149,3,111,115,323
DAY 33,1344,304,151,3,116,119,342
DAY 34,1440,362,152,4,119,123,361
DAY 35,1534,426,154,4,131,127,380
DAY 36,1626,492,155,4,144,130,399
DAY 37,1716,565,157,5,154,134,419
DAY 38,1804,638,158,5,159,138,439
DAY 39,1891,725,160,6,165,142,459
DAY 40,1975,813,162,6,182,145,479
DAY 41,2057,910,164,7,182,149,499
DAY 42,2138,1018,166,7,199,153,520
DAY 43,2216,1115,166,9,217,156,540
DAY 44,2293,1261,166,15,229,160,560
DAY 45,2367,1383,166,25,251,164,580
DAY 46,2440,1526,166,39,263,168,601
DAY 47,2510,1669,167,57,274,171,621
DAY 48,2578,1775,167,79,293,175,641
DAY 49,2644,1873,167,106,307,179,661
DAY 50,2708,2009,167,136,321,183,681
DAY 51,2770,2126,168,170,353,186,701
DAY 52,2830,2247,169,208,372,190,720
DAY 53,2888,2360,171,251,391,194,739
DAY 54,2943,2460,173,297,417,197,758
DAY 55,2996,2618,174,347,435,201,777
DAY 56,3047,2699,176,401,448,205,795
DAY 57,3095,2763,178,460,461,209,813
DAY 58,3141,2800,179,522,478,212,831
DAY 59,3185,2858,181,589,495,216,848
DAY 60,3226,2923,183,659,506,220,865
DAY 61,3265,2977,184,734,514,224,881
DAY 62,3301,3050,185,812,526,227,897
DAY 63,3334,3117,186,895,539,231,913
DAY 64,3365,3202,187,955,552,235,928
DAY 65,3393,3285,200,967,573,238,942
DAY 66,3419,3387,201,1028,587,242,956
DAY 67,3441,3494,203,1040,598,246,970
DAY 68,3460,3599,204,1040,611,250,983
DAY 69,3476,3827,206,1070,623,253,995
DAY 70,3488,4025,208,1100,633,257,1007
DAY 71,3496,4296,215,1112,643,261,1018
DAY 72,3500,4628,223,1148,662,264,1028
DAY 73,3513,4981,231,1173,666,268,1038
DAY 74,3526,5429,235,1197,682,272,1047
DAY 75,3539,5833,239,1261,689,276,1055
DAY 76,3551,6519,244,1326,696,279,1063
DAY 77,3564,7161,248,1390,710,283,1070
DAY 78,3577,7978,253,1402,725,287,1076
DAY 79,3590,8951,270,1414,735,291,1082
DAY 80,3603,10030,279,1463,745,294,1087
DAY 81,3616,11386,289,1511,750,298,1091
DAY 82,3629,13011,298,1567,754,302,1094
DAY 83,3642,14640,308,1624,764,305,1097
DAY 84,3654,16513,317,1680,767,309,1098
DAY 85,3667,18894,327,1692,770,313,1100
DAY 86,3680,21282,337,1704,772,317,1100
DAY 87,3693,24073,337,1729,772,320,1100
DAY 88,3706,27343,337,1753,775,324,1100
DAY 89,3719,30861,337,1827,779,328,1100
DAY 90,3732,34065,337,1908,780,332,1100
DAY 91,3745,37774,337,1994,782,335,1100
DAY 92,3757,42311,338,2087,784,339,1100
DAY 93,3770,47192,354,2185,789,343,1100
DAY 94,3783,50325,370,2289,789,346,1100
DAY 95,3796,56985,386,2400,790,350,1100
DAY 96,3809,62784,402,2516,792,354,1100
DAY 97,3822,67594,418,2638,794,358,1100
DAY 98,3835,72614,434,2766,796,361,1100
DAY 99,3848,79235,450,2900,799,365,1100
DAY 100,3860,85522,467,3040,799,369,1100
DAY 101,3873,92798,469,3186,801,373,1100
DAY 102,3886,99690,472,3338,804,376,1100
DAY 103,3899,105952,475,3496,804,380,1100
DAY 104,3957,111653,478,3660,804,384,1100
DAY 105,4015,117022,481,3830,804,387,1100
DAY 106,4073,123011,518,4006,805,391,1100
DAY 107,4131,130885,521,4188,807,395,1100
DAY 108,4145,139378,525,4375,808,399,1100
DAY 109,4159,146088,528,4569,809,402,1100
DAY 110,4173,152551,532,4769,810,406,1100
DAY 111,4186,157847,535,4974,810,410,1100
DAY 112,4200,162956,539,5186,810,413,1100
DAY 113,4214,169006,570,5409,811,417,1100
DAY 114,4228,175694,601,5632,812,421,1100
DAY 115,4242,181938,607,5854,812,425,1100
DAY 116,4256,187705,613,6077,812,428,1100
DAY 117,4270,193722,619,6300,812,432,1100
DAY 118,4284,198668,625,6523,812,436,1100
DAY 119,4297,202597,632,6745,812,440,1100
DAY 120,4311,207973,641,6968,812,443,1100
DAY 121,4325,217769,650,7191,812,447,1100
DAY 122,4339,224172,660,7414,812,451,1100
DAY 123,4353,229971,663,7637,812,454,1100
DAY 124,4367,,666,7859,813,458,1100
DAY 125,4381,,669,8082,813,462,1100
DAY 126,4395,,672,8305,813,466,1100
DAY 127,4408,,690,8528,813,469,1100
DAY 128,4422,,709,8750,813,473,1100
DAY 129,4436,,728,8973,813,477,1100
DAY 130,4450,,760,9196,813,481,1100
DAY 131,4464,,792,9419,813,484,1100
DAY 132,4478,,825,9642,813,488,1100
DAY 133,4492,,886,9864,813,492,1100
DAY 134,4506,,904,10886,813,495,1100
DAY 135,4519,,922,11907,813,499,1100
DAY 136,4533,,940,12929,813,503,1100
DAY 137,4547,,959,13950,813,507,1100
DAY 138,4561,,972,14571,813,510,1100
DAY 139,4575,,985,15191,813,514,1100
DAY 140,4589,,998,15812,813,518,1100
